#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCAR CALCULE LE 29/05/2020 A 15:15:01 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY          SIXZ          SIYZ        
 0.000000E+00  9.569581E-03  5.525000E-03  0.000000E+00  2.050025E+01  6.091189E+01  3.698954E+01  -3.514967E+01  3.475708E-02  3.578630E-02
 3.300000E-04  9.855369E-03  5.690000E-03  0.000000E+00  1.463866E+01  3.509031E+01  6.267237E+00  -2.008986E+01  3.006362E-02  1.058111E-02
 6.600000E-04  1.014116E-02  5.855000E-03  0.000000E+00  7.532655E+00  1.048615E+01  -2.404940E+01  -5.979061E+00  1.196305E-02  -3.942554E-03
 9.900000E-04  1.042695E-02  6.020000E-03  0.000000E+00  -3.455390E-01  -1.248387E+01  -5.359816E+01  7.283920E+00  -1.822160E-04  -9.781240E-03
 1.320000E-03  1.071273E-02  6.185000E-03  0.000000E+00  -8.999507E+00  -3.402331E+01  -8.247559E+01  1.974455E+01  -1.615502E-02  -1.800640E-02
 1.650000E-03  1.099852E-02  6.350000E-03  0.000000E+00  -1.817226E+01  -5.434400E+01  -1.109934E+02  3.174200E+01  -2.131565E-02  -4.977134E-03

