#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCYL CALCULE LE 04/11/2019 A 12:43:57 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY        
 0.000000E+00  9.569581E-03  -5.525000E-03  0.000000E+00  1.786897E+01  8.380702E-01  8.890871E+01  2.056835E-01
 1.100000E-04  9.664844E-03  -5.580000E-03  0.000000E+00  1.485544E+01  1.329566E-01  8.772473E+01  4.781769E-01
 2.200000E-04  9.760106E-03  -5.635000E-03  0.000000E+00  1.227698E+01  2.654849E-01  8.693723E+01  8.949468E-01
 3.300000E-04  9.855369E-03  -5.690000E-03  0.000000E+00  9.745257E+00  3.732289E-01  8.615854E+01  1.225859E+00
 4.400000E-04  9.950632E-03  -5.745000E-03  0.000000E+00  7.259843E+00  4.573117E-01  8.538896E+01  1.475572E+00
 5.500000E-04  1.004589E-02  -5.800000E-03  0.000000E+00  4.820051E+00  5.183788E-01  8.462853E+01  1.648414E+00
 6.600000E-04  1.014116E-02  -5.855000E-03  0.000000E+00  2.424823E+00  5.563574E-01  8.387695E+01  1.748483E+00
 7.700000E-04  1.023642E-02  -5.910000E-03  0.000000E+00  7.345325E-02  5.719234E-01  8.313424E+01  1.779763E+00
 8.800000E-04  1.033168E-02  -5.965000E-03  0.000000E+00  -2.234766E+00  5.657434E-01  8.240039E+01  1.746004E+00
 9.900000E-04  1.042695E-02  -6.020000E-03  0.000000E+00  -4.500537E+00  5.384745E-01  8.167542E+01  1.650736E+00
 1.100000E-03  1.052221E-02  -6.075000E-03  0.000000E+00  -6.724558E+00  4.907656E-01  8.095929E+01  1.497282E+00
 1.210000E-03  1.061747E-02  -6.130000E-03  0.000000E+00  -8.907523E+00  4.232574E-01  8.025199E+01  1.288770E+00
 1.320000E-03  1.071273E-02  -6.185000E-03  0.000000E+00  -1.105012E+01  3.365837E-01  7.955346E+01  1.028148E+00
 1.430000E-03  1.080800E-02  -6.240000E-03  0.000000E+00  -1.315303E+01  2.313710E-01  7.886367E+01  7.181906E-01
 1.540000E-03  1.090326E-02  -6.295000E-03  0.000000E+00  -1.521905E+01  1.035514E-01  7.818046E+01  3.632036E-01
 1.650000E-03  1.099852E-02  -6.350000E-03  0.000000E+00  -1.745695E+01  -5.093788E-01  7.729567E+01  1.327397E-01

