#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCAR CALCULE LE 29/05/2020 A 15:15:01 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY          SIXZ          SIYZ        
 0.000000E+00  9.569581E-03  -5.525000E-03  0.000000E+00  4.277706E+00  1.239701E+01  7.904052E+01  7.078371E+00  9.525941E-03  -4.634882E-03
 3.300000E-04  9.855369E-03  -5.690000E-03  0.000000E+00  1.406419E+00  8.070290E+00  7.674235E+01  3.054711E+00  -1.690461E-03  -6.956058E-03
 6.600000E-04  1.014116E-02  -5.855000E-03  0.000000E+00  -6.733523E-01  3.433206E+00  7.460406E+01  -2.534663E-01  -7.010616E-03  -5.284165E-03
 9.900000E-04  1.042695E-02  -6.020000E-03  0.000000E+00  -2.227133E+00  -1.516685E+00  7.254695E+01  -3.007106E+00  -8.664032E-03  -4.419253E-03
 1.320000E-03  1.071273E-02  -6.185000E-03  0.000000E+00  -3.358232E+00  -6.696999E+00  7.056625E+01  -5.274651E+00  -9.595404E-03  -4.185764E-03
 1.650000E-03  1.099852E-02  -6.350000E-03  0.000000E+00  -4.056800E+00  -1.222324E+01  6.863725E+01  -7.017450E+00  -2.565341E-03  3.791866E-03

