#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCAR CALCULE LE 23/03/2020 A 17:03:13 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY          SIXZ          SIYZ        
 0.000000E+00  9.569581E-03  -5.525000E-03  0.000000E+00  4.556961E+00  1.320790E+01  8.222952E+01  7.541666E+00  1.013114E-02  -4.881092E-03
 3.300000E-04  9.855369E-03  -5.690000E-03  0.000000E+00  1.503809E+00  8.594523E+00  7.978587E+01  3.258433E+00  -1.794741E-03  -7.389646E-03
 6.600000E-04  1.014116E-02  -5.855000E-03  0.000000E+00  -7.095404E-01  3.652790E+00  7.751118E+01  -2.644520E-01  -7.456008E-03  -5.626812E-03
 9.900000E-04  1.042695E-02  -6.020000E-03  0.000000E+00  -2.365003E+00  -1.619701E+00  7.532201E+01  -3.197885E+00  -9.221426E-03  -4.708031E-03
 1.320000E-03  1.071273E-02  -6.185000E-03  0.000000E+00  -3.572308E+00  -7.135731E+00  7.321328E+01  -5.614623E+00  -1.022683E-02  -4.459627E-03
 1.650000E-03  1.099852E-02  -6.350000E-03  0.000000E+00  -4.320062E+00  -1.301883E+01  7.115824E+01  -7.473715E+00  -2.697819E-03  4.040211E-03

