#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCAR CALCULE LE 29/05/2020 A 15:15:01 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY          SIXZ          SIYZ        
 0.000000E+00  1.353235E-18  -1.105000E-02  0.000000E+00  -1.621712E+01  -2.581384E-02  6.906246E+01  -3.360934E-04  -6.133319E-06  3.606821E-06
 3.300000E-04  1.393648E-18  -1.138000E-02  0.000000E+00  -9.926787E+00  -4.063573E-01  7.089715E+01  -4.012219E-03  1.684456E-03  2.360503E-03
 6.600000E-04  1.434061E-18  -1.171000E-02  0.000000E+00  -3.978032E+00  -5.305793E-01  7.270252E+01  -9.110336E-04  3.366952E-03  1.226328E-03
 9.900000E-04  1.474475E-18  -1.204000E-02  0.000000E+00  1.624644E+00  -4.808143E-01  7.445478E+01  -6.640965E-05  3.404281E-03  4.460307E-04
 1.320000E-03  1.514888E-18  -1.237000E-02  0.000000E+00  6.955449E+00  -2.851744E-01  7.616796E+01  7.885373E-04  3.661289E-03  -6.244853E-04
 1.650000E-03  1.555301E-18  -1.270000E-02  0.000000E+00  1.205284E+01  -4.309655E-02  7.782306E+01  4.240048E-02  -1.126226E-03  -2.252010E-04

