#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHEQ CALCULE LE 21/11/2019 A 20:24:26 DE TYPE         
#TABLE_SDASTER                                                                   
 ABSC_CURV     VMIS          TRESCA        PRIN_1        PRIN_2        PRIN_3        VECT_1_X      VECT_1_Y      VECT_1_Z      VECT_2_X      VECT_2_Y      VECT_2_Z      VECT_3_X      VECT_3_Y      VECT_3_Z      TRIAX       
 0.000000E+00  5.995774E+08  6.589460E+08  1.491087E+07  5.283288E+08  6.738569E+08  8.640845E-01  5.033372E-01  3.101257E-03  -1.334333E-03  -3.870676E-03  9.999916E-01  -5.033449E-01  8.640814E-01  2.672972E-03  6.766413E-01
 1.354660E-02  3.785571E+08  4.162110E+08  5.631888E+07  3.801041E+08  4.725298E+08  8.221632E-01  5.692518E-01  -1.863710E-04  1.445682E-04  1.185971E-04  1.000000E+00  -5.692519E-01  8.221632E-01  -1.520980E-05  8.003662E-01
 2.709320E-02  2.282813E+08  2.585844E+08  8.604359E+07  2.596408E+08  3.446280E+08  7.542120E-01  6.566277E-01  -2.070996E-03  -1.755246E-03  5.170038E-03  9.999851E-01  -6.566286E-01  7.541971E-01  -5.051847E-03  1.007985E+00
 4.063980E-02  1.441918E+08  1.648201E+08  9.273146E+07  1.547212E+08  2.575516E+08  6.343340E-01  7.730419E-01  -5.134105E-03  2.141992E-03  4.883682E-03  9.999858E-01  7.729926E-01  -6.342741E-01  1.441905E-03  1.167436E+00
 5.418640E-02  1.288045E+08  1.384401E+08  5.712192E+07  7.926371E+07  1.955620E+08  -5.138291E-03  -8.441317E-03  9.998913E-01  4.109452E-01  9.115421E-01  9.925027E-03  9.116312E-01  -4.110067E-01  1.222392E-03  8.590486E-01
 6.773300E-02  1.662932E+08  1.912864E+08  -3.380718E+07  4.732431E+07  1.574792E+08  -1.076731E-03  -1.467720E-03  9.999983E-01  1.238140E-01  9.923041E-01  1.589746E-03  9.923048E-01  -1.238155E-01  8.866955E-04  3.427613E-01
 8.127960E-02  2.193209E+08  2.532403E+08  -1.190869E+08  5.614580E+06  1.341534E+08  -5.367084E-04  -6.599900E-04  9.999996E-01  -8.766331E-02  9.961501E-01  6.104005E-04  9.961501E-01  8.766295E-02  5.924965E-04  3.143184E-02
 9.482620E-02  2.736231E+08  3.159117E+08  -1.995586E+08  -3.719290E+07  1.163531E+08  -3.249854E-04  -3.792364E-04  9.999999E-01  -2.134408E-01  9.769560E-01  3.011325E-04  9.769560E-01  2.134407E-01  3.984405E-04  -1.466720E-01
 1.083728E-01  3.259846E+08  3.762409E+08  -2.759058E+08  -7.788290E+07  1.003351E+08  -2.141050E-04  -2.452249E-04  9.999999E-01  -2.920205E-01  9.564121E-01  1.720131E-04  9.564121E-01  2.920205E-01  2.763832E-04  -2.591674E-01
 1.219194E-01  3.759095E+08  4.336673E+08  -3.486850E+08  -1.158063E+08  8.498237E+07  -1.472943E-04  -1.699712E-04  1.000000E+00  -3.459070E-01  9.382688E-01  1.085286E-04  9.382688E-01  3.459069E-01  1.969959E-04  -3.365250E-01
 1.354660E-01  4.235510E+08  4.883458E+08  -4.183525E+08  -1.510654E+08  6.999333E+07  -1.035351E-04  -1.232846E-04  1.000000E+00  -3.858300E-01  9.225699E-01  7.379178E-05  9.225699E-01  3.858300E-01  1.430853E-04  -3.930456E-01
 1.490126E-01  4.691953E+08  5.405929E+08  -4.852856E+08  -1.839452E+08  5.530737E+07  -7.329425E-05  -9.237070E-05  1.000000E+00  -4.171502E-01  9.088375E-01  5.337527E-05  9.088375E-01  4.171502E-01  1.051450E-04  -4.361534E-01
 1.625592E-01  5.131250E+08  5.907309E+08  -5.497984E+08  -2.147469E+08  4.093249E+07  -5.177535E-05  -7.115246E-05  1.000000E+00  -4.427687E-01  8.966359E-01  4.087335E-05  8.966359E-01  4.427687E-01  7.792773E-05  -4.700693E-01
 1.761058E-01  5.555888E+08  6.390504E+08  -6.121521E+08  -2.437405E+08  2.689837E+07  -3.715415E-05  -5.753134E-05  1.000000E+00  -4.643626E-01  8.856452E-01  3.369936E-05  8.856452E-01  4.643626E-01  5.962081E-05  -4.973668E-01
 1.896524E-01  5.967744E+08  6.857739E+08  -6.725800E+08  -2.711672E+08  1.319385E+07  -4.183662E-05  -4.022387E-05  1.000000E+00  -4.830661E-01  8.755839E-01  1.500952E-05  8.755839E-01  4.830661E-01  5.606227E-05  -5.197684E-01
 2.031990E-01  6.378860E+08  7.324250E+08  -7.307725E+08  -2.970040E+08  1.652502E+06  8.732844E-05  1.946157E-05  1.000000E+00  -4.982448E-01  8.670364E-01  2.663705E-05  8.670364E-01  4.982448E-01  -8.541355E-05  -5.362107E-01

