#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCAR CALCULE LE 23/03/2020 A 17:03:14 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY          SIXZ          SIYZ        
 0.000000E+00  1.353235E-18  -1.105000E-02  0.000000E+00  -1.713082E+01  -2.729812E-02  7.161367E+01  -3.585335E-04  -6.486098E-06  3.814281E-06
 3.300000E-04  1.393648E-18  -1.138000E-02  0.000000E+00  -1.048864E+01  -4.292034E-01  7.355098E+01  -4.224633E-03  1.782527E-03  2.495071E-03
 6.600000E-04  1.434061E-18  -1.171000E-02  0.000000E+00  -4.207375E+00  -5.602735E-01  7.545730E+01  -9.463652E-04  3.559808E-03  1.296077E-03
 9.900000E-04  1.474475E-18  -1.204000E-02  0.000000E+00  1.708369E+00  -5.076095E-01  7.730751E+01  -5.482300E-05  3.597406E-03  4.715411E-04
 1.320000E-03  1.514888E-18  -1.237000E-02  0.000000E+00  7.337138E+00  -3.009874E-01  7.911648E+01  8.421802E-04  3.865157E-03  -6.581124E-04
 1.650000E-03  1.555301E-18  -1.270000E-02  0.000000E+00  1.271972E+01  -4.551940E-02  8.086412E+01  4.465262E-02  -1.182332E-03  -2.353687E-04

