#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCYL CALCULE LE 04/11/2019 A 12:43:56 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY        
 0.000000E+00  9.569581E-03  5.525000E-03  0.000000E+00  8.790492E+01  1.053710E+01  3.910661E+01  6.374423E-01
 1.100000E-04  9.664844E-03  5.580000E-03  0.000000E+00  7.106856E+01  7.166205E-01  2.334601E+01  6.186823E-01
 2.200000E-04  9.760106E-03  5.635000E-03  0.000000E+00  5.924431E+01  1.322349E+00  1.245270E+01  1.051682E+00
 3.300000E-04  9.855369E-03  5.690000E-03  0.000000E+00  4.767960E+01  1.804057E+00  1.680707E+00  1.393328E+00
 4.400000E-04  9.950632E-03  5.745000E-03  0.000000E+00  3.636809E+01  2.174310E+00  -8.970097E+00  1.649511E+00
 5.500000E-04  1.004589E-02  5.800000E-03  0.000000E+00  2.530104E+01  2.439545E+00  -1.950248E+01  1.825569E+00
 6.600000E-04  1.014116E-02  5.855000E-03  0.000000E+00  1.446544E+01  2.596067E+00  -2.992367E+01  1.926033E+00
 7.700000E-04  1.023642E-02  5.910000E-03  0.000000E+00  3.853020E+00  2.649452E+00  -4.023649E+01  1.955593E+00
 8.800000E-04  1.033168E-02  5.965000E-03  0.000000E+00  -6.544112E+00  2.604999E+00  -5.044366E+01  1.918643E+00
 9.900000E-04  1.042695E-02  6.020000E-03  0.000000E+00  -1.673346E+01  2.467770E+00  -6.054778E+01  1.819308E+00
 1.100000E-03  1.052221E-02  6.075000E-03  0.000000E+00  -2.672214E+01  2.242621E+00  -7.055136E+01  1.661462E+00
 1.210000E-03  1.061747E-02  6.130000E-03  0.000000E+00  -3.651695E+01  1.934250E+00  -8.045677E+01  1.448750E+00
 1.320000E-03  1.071273E-02  6.185000E-03  0.000000E+00  -4.612430E+01  1.547239E+00  -9.026627E+01  1.184608E+00
 1.430000E-03  1.080800E-02  6.240000E-03  0.000000E+00  -5.555029E+01  1.086085E+00  -9.998201E+01  8.722771E-01
 1.540000E-03  1.090326E-02  6.295000E-03  0.000000E+00  -6.483662E+01  4.752299E-01  -1.096419E+02  5.101233E-01
 1.650000E-03  1.099852E-02  6.350000E-03  0.000000E+00  -7.754028E+01  -8.185593E+00  -1.227993E+02  -3.637764E-01

