#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHEQ CALCULE LE 29/05/2020 A 15:15:01 DE TYPE         
#TABLE_SDASTER                                                                   
 ABSC_CURV     VMIS          TRESCA        PRIN_1        PRIN_2        PRIN_3        VECT_1_X      VECT_1_Y      VECT_1_Z      VECT_2_X      VECT_2_Y      VECT_2_Z      VECT_3_X      VECT_3_Y      VECT_3_Z      TRIAX       
 0.000000E+00  7.032171E+01  8.108704E+01  1.625194E-01  3.698960E+01  8.124956E+01  8.655551E-01  5.008121E-01  -1.303564E-03  1.281836E-03  3.874975E-04  9.999991E-01  -5.008121E-01  8.655560E-01  3.065584E-04  5.612381E-01
 3.300000E-04  4.324778E+01  4.508550E+01  2.321608E+00  6.267482E+00  4.740711E+01  8.525061E-01  5.226577E-01  -7.897273E-03  6.647650E-03  4.266396E-03  9.999688E-01  -5.226751E-01  8.525320E-01  -1.626832E-04  4.315921E-01
 6.600000E-04  3.473723E+01  3.921754E+01  -2.404941E+01  2.850673E+00  1.516813E+01  -3.692839E-04  5.022597E-05  9.999999E-01  7.873311E-01  6.165303E-01  2.597829E-04  -6.165303E-01  7.873312E-01  -2.672192E-04  -5.786876E-02
 9.900000E-04  4.995948E+01  5.666451E+01  -5.359816E+01  -1.589575E+01  3.066343E+00  -2.984199E-05  2.431905E-04  1.000000E+00  -4.241836E-01  9.055762E-01  -2.328861E-04  9.055762E-01  4.241836E-01  -7.613324E-05  -4.432097E-01
 1.320000E-03  7.318345E+01  8.433928E+01  -8.247559E+01  -4.488649E+01  1.863686E+00  1.347595E-04  3.167163E-04  9.999999E-01  -4.820444E-01  8.761467E-01  -2.125299E-04  8.761468E-01  4.820444E-01  -2.707405E-04  -5.716156E-01
 1.650000E-03  9.792509E+01  1.112682E+02  -1.109934E+02  -7.279104E+01  2.747793E-01  2.469081E-04  -5.048991E-05  1.000000E+00  -5.024654E-01  8.645973E-01  1.677162E-04  8.645973E-01  5.024654E-01  -1.881067E-04  -6.246600E-01

