#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCAR CALCULE LE 29/05/2020 A 15:16:00 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY          SIXZ          SIYZ        
 0.000000E+00  0.000000E+00  1.105000E-02  0.000000E+00  1.224900E+02  3.409405E-01  -1.581977E+01  -2.966086E-01  2.389010E-12  9.093413E-03
 3.300000E-04  0.000000E+00  1.138000E-02  0.000000E+00  7.062891E+01  3.007602E+00  -7.618453E+01  -1.820261E-01  3.843023E-03  4.237816E-02
 6.600000E-04  0.000000E+00  1.171000E-02  0.000000E+00  2.194732E+01  4.132974E+00  -1.348890E+02  -1.661723E-01  1.204849E-02  3.174346E-02
 9.900000E-04  0.000000E+00  1.204000E-02  0.000000E+00  -2.402606E+01  3.928334E+00  -1.921211E+02  -1.414196E-01  1.262669E-02  2.569934E-02
 1.320000E-03  0.000000E+00  1.237000E-02  0.000000E+00  -6.742714E+01  2.879265E+00  -2.477980E+02  -4.600699E-02  1.430399E-02  1.922793E-02
 1.650000E-03  0.000000E+00  1.270000E-02  0.000000E+00  -1.091912E+02  -3.705653E-02  -3.030833E+02  2.505120E-01  1.517525E-02  2.888317E-02

