#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCYL CALCULE LE 04/11/2019 A 12:43:56 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY        
 0.000000E+00  0.000000E+00  1.105000E-02  0.000000E+00  1.254623E+02  1.888296E+01  -2.072944E+01  -1.254908E-03
 1.100000E-04  0.000000E+00  1.116000E-02  0.000000E+00  9.973682E+01  9.518821E-01  -4.889169E+01  -1.012835E-03
 2.200000E-04  0.000000E+00  1.127000E-02  0.000000E+00  8.298195E+01  1.821947E+00  -6.826388E+01  -6.190821E-04
 3.300000E-04  0.000000E+00  1.138000E-02  0.000000E+00  6.665273E+01  2.511858E+00  -8.738511E+01  -2.555113E-04
 4.400000E-04  0.000000E+00  1.149000E-02  0.000000E+00  5.072809E+01  3.031704E+00  -1.062642E+02  -1.417310E-04
 5.500000E-04  0.000000E+00  1.160000E-02  0.000000E+00  3.518725E+01  3.391760E+00  -1.249095E+02  -1.970372E-04
 6.600000E-04  0.000000E+00  1.171000E-02  0.000000E+00  2.001429E+01  3.601532E+00  -1.433279E+02  -1.626117E-04
 7.700000E-04  0.000000E+00  1.182000E-02  0.000000E+00  5.194524E+00  3.669055E+00  -1.615262E+02  -1.113085E-04
 8.800000E-04  0.000000E+00  1.193000E-02  0.000000E+00  -9.286040E+00  3.601067E+00  -1.795110E+02  -5.857503E-05
 9.900000E-04  0.000000E+00  1.204000E-02  0.000000E+00  -2.343757E+01  3.405901E+00  -1.972860E+02  -7.743435E-06
 1.100000E-03  0.000000E+00  1.215000E-02  0.000000E+00  -3.726904E+01  3.091800E+00  -2.148541E+02  4.170248E-05
 1.210000E-03  0.000000E+00  1.226000E-02  0.000000E+00  -5.079147E+01  2.664588E+00  -2.322210E+02  9.292887E-05
 1.320000E-03  0.000000E+00  1.237000E-02  0.000000E+00  -6.401400E+01  2.130569E+00  -2.493916E+02  1.513784E-04
 1.430000E-03  0.000000E+00  1.248000E-02  0.000000E+00  -7.694409E+01  1.495283E+00  -2.663701E+02  2.241521E-04
 1.540000E-03  0.000000E+00  1.259000E-02  0.000000E+00  -8.958700E+01  7.639856E-01  -2.831604E+02  3.124455E-04
 1.650000E-03  0.000000E+00  1.270000E-02  0.000000E+00  -1.083300E+02  -1.426455E+01  -3.061484E+02  3.693834E-04

