#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCAR CALCULE LE 27/11/2019 A 20:13:21 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY          SIXZ          SIYZ        
 0.000000E+00  9.569581E-03  5.525000E-03  0.000000E+00  6.371234E-01  3.102569E+00  2.997175E-04  -2.139185E+00  -3.239566E-04  -6.146476E-04
 3.300000E-04  9.855369E-03  5.690000E-03  0.000000E+00  7.084374E-01  3.036389E+00  1.965843E-03  -2.017300E+00  -6.559730E-05  -6.037221E-04
 6.600000E-04  1.014116E-02  5.855000E-03  0.000000E+00  7.726936E-01  2.972162E+00  1.862045E-03  -1.904943E+00  -4.241890E-05  -2.387942E-04
 9.900000E-04  1.042695E-02  6.020000E-03  0.000000E+00  8.312934E-01  2.912697E+00  1.512840E-03  -1.801965E+00  3.119587E-05  2.735559E-05
 1.320000E-03  1.071273E-02  6.185000E-03  0.000000E+00  8.847236E-01  2.857973E+00  1.014940E-03  -1.707026E+00  1.265096E-04  3.321950E-04
 1.650000E-03  1.099852E-02  6.350000E-03  0.000000E+00  9.268865E-01  2.810282E+00  -6.809910E-04  -1.620217E+00  -2.838538E-04  2.775424E-04

