#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHEQ CALCULE LE 27/11/2019 A 20:13:21 DE TYPE         
#TABLE_SDASTER                                                                   
 ABSC_CURV     VMIS          TRESCA        PRIN_1        PRIN_2        PRIN_3        VECT_1_X      VECT_1_Y      VECT_1_Z      VECT_2_X      VECT_2_Y      VECT_2_Z      VECT_3_X      VECT_3_Y      VECT_3_Z      TRIAX       
 0.000000E+00  4.667158E+00  4.937903E+00  -5.991056E-01  3.002628E-04  4.338797E+00  8.658200E-01  5.003547E-01  9.810221E-04  -8.920701E-04  -4.170033E-04  9.999995E-01  -5.003549E-01  8.658204E-01  -8.530170E-05  2.671141E-01
 3.300000E-04  4.446525E+00  4.658041E+00  -4.566078E-01  1.966066E-03  4.201434E+00  8.659588E-01  5.001147E-01  7.822840E-04  -7.357792E-04  -2.901920E-04  9.999997E-01  -5.001148E-01  8.659591E-01  -1.166797E-04  2.808779E-01
 6.600000E-04  4.244253E+00  4.399192E+00  -3.271683E-01  1.862111E-03  4.072024E+00  8.660169E-01  5.000145E-01  4.745340E-04  -4.337540E-04  -1.977855E-04  9.999999E-01  -5.000145E-01  8.660170E-01  -4.559765E-05  2.942581E-01
 9.900000E-04  4.060680E+00  4.161797E+00  -2.089029E-01  1.512848E-03  3.952894E+00  8.660605E-01  4.999392E-01  -1.933964E-04  1.685173E-04  9.491208E-05  1.000000E+00  -4.999392E-01  8.660605E-01  2.048790E-06  3.074612E-01
 1.320000E-03  3.893616E+00  3.943282E+00  -1.002929E-01  1.015676E-03  3.842989E+00  8.661399E-01  4.997942E-01  -2.720464E-03  2.385516E-03  1.309065E-03  9.999963E-01  -4.997959E-01  8.661432E-01  5.843337E-05  3.205000E-01
 1.650000E-03  3.745643E+00  3.748014E+00  -5.423521E-03  -6.785884E-04  3.742590E+00  8.665265E-01  4.986154E-01  2.268408E-02  -1.961049E-02  -1.140205E-02  9.997427E-01  -4.987457E-01  8.667483E-01  1.020846E-04  3.325186E-01

