#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHEQ CALCULE LE 21/11/2019 A 20:24:26 DE TYPE         
#TABLE_SDASTER                                                                   
 ABSC_CURV     VMIS          TRESCA        PRIN_1        PRIN_2        PRIN_3        VECT_1_X      VECT_1_Y      VECT_1_Z      VECT_2_X      VECT_2_Y      VECT_2_Z      VECT_3_X      VECT_3_Y      VECT_3_Z      TRIAX       
 0.000000E+00  3.170878E+08  3.385787E+08  -1.474502E+05  4.844381E+07  3.384312E+08  4.844904E-03  9.999882E-01  2.522083E-04  9.999883E-01  -4.844903E-03  -2.661288E-06  1.439332E-06  -2.522182E-04  1.000000E+00  4.065410E-01
 1.354660E-02  3.512856E+08  3.652965E+08  7.646934E+06  3.758512E+07  3.729435E+08  -7.099011E-03  9.999748E-01  -3.757144E-05  9.999748E-01  7.099011E-03  -3.006768E-07  3.394589E-08  3.757262E-05  1.000000E+00  3.968049E-01
 2.709320E-02  3.850720E+08  3.881212E+08  1.510846E+07  2.128105E+07  4.032296E+08  1.530782E-02  9.998828E-01  -8.987620E-05  9.998828E-01  -1.530782E-02  4.199724E-05  -4.061651E-05  9.050855E-05  1.000000E+00  3.805515E-01
 4.063980E-02  4.187054E+08  4.263408E+08  5.226373E+06  2.093952E+07  4.315671E+08  9.998030E-01  2.056790E-02  -7.263617E-06  -2.059743E-02  9.998028E-01  -1.307094E-04  4.577018E-06  1.308261E-04  1.000000E+00  3.644034E-01
 5.418640E-02  4.524194E+08  4.685581E+08  -9.601723E+06  2.461912E+07  4.589564E+08  9.999419E-01  1.078077E-02  -1.220518E-05  -1.078077E-02  9.999419E-01  -1.501586E-04  1.058566E-05  1.502814E-04  1.000000E+00  3.492142E-01
 6.773300E-02  4.861389E+08  5.089534E+08  -2.294243E+07  2.645883E+07  4.860109E+08  9.999752E-01  7.048430E-03  -1.308687E-05  -7.048432E-03  9.999751E-01  -1.461658E-04  1.205631E-05  1.462544E-04  1.000000E+00  3.356567E-01
 8.127960E-02  5.198345E+08  5.478755E+08  -3.476191E+07  2.680294E+07  5.131136E+08  9.999877E-01  4.960829E-03  -1.485564E-05  -4.960831E-03  9.999877E-01  -1.304945E-04  1.420810E-05  1.305666E-04  1.000000E+00  3.239202E-01
 9.482620E-02  5.535228E+08  5.856396E+08  -4.513485E+07  2.597069E+07  5.405048E+08  9.999934E-01  3.635388E-03  -1.846124E-05  -3.635390E-03  9.999934E-01  -1.104237E-04  1.805968E-05  1.104901E-04  1.000000E+00  3.139531E-01
 1.083728E-01  5.872446E+08  6.225098E+08  -5.417697E+07  2.423166E+07  5.683328E+08  9.999963E-01  2.735273E-03  -2.343491E-05  -2.735275E-03  9.999963E-01  -8.978035E-05  2.318925E-05  8.984411E-05  1.000000E+00  3.056009E-01
 1.219194E-01  6.210478E+08  6.587001E+08  -6.201365E+07  2.180437E+07  5.966865E+08  9.999978E-01  2.096578E-03  -2.909855E-05  -2.096580E-03  9.999978E-01  -7.041910E-05  2.895085E-05  7.047995E-05  1.000000E+00  2.986765E-01
 1.354660E-01  6.549782E+08  6.943811E+08  -6.876591E+07  1.886233E+07  6.256152E+08  9.999987E-01  1.629946E-03  -3.490837E-05  -1.629947E-03  9.999987E-01  -5.308170E-05  3.482180E-05  5.313853E-05  1.000000E+00  2.929928E-01
 1.490126E-01  6.890750E+08  7.296873E+08  -7.454495E+07  1.554116E+07  6.551423E+08  9.999992E-01  1.287129E-03  -4.054827E-05  -1.287130E-03  9.999992E-01  -3.784210E-05  4.049953E-05  3.789426E-05  1.000000E+00  2.883762E-01
 1.625592E-01  7.233701E+08  7.647243E+08  -7.945150E+07  1.194336E+07  6.852728E+08  9.999994E-01  1.056577E-03  -4.603298E-05  -1.056578E-03  9.999994E-01  -2.418697E-05  4.600740E-05  2.423559E-05  1.000000E+00  2.846697E-01
 1.761058E-01  7.578900E+08  7.995748E+08  -8.358024E+07  8.136779E+06  7.159946E+08  9.999995E-01  9.945532E-04  -5.195546E-05  -9.945538E-04  9.999995E-01  -1.049811E-05  5.194499E-05  1.054978E-05  1.000000E+00  2.817256E-01
 1.896524E-01  7.926654E+08  8.343131E+08  -8.703780E+07  4.143805E+06  7.472753E+08  9.999991E-01  1.331325E-03  -6.322490E-05  -1.331324E-03  9.999991E-01  1.134199E-05  6.323995E-05  -1.125780E-05  1.000000E+00  2.793870E-01
 2.031990E-01  8.277230E+08  8.691265E+08  -9.013098E+07  6.389660E+04  7.789956E+08  9.999971E-01  2.399169E-03  -5.917741E-05  -2.399157E-03  9.999971E-01  2.020409E-04  5.966197E-05  -2.018983E-04  1.000000E+00  2.774392E-01

