#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCAR CALCULE LE 27/11/2019 A 20:14:06 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY          SIXZ          SIYZ        
 0.000000E+00  9.569581E-03  -5.525000E-03  0.000000E+00  4.771715E+00  1.376509E+01  9.048360E+01  7.748360E+00  1.311599E-02  1.431583E-02
 3.300000E-04  9.855369E-03  -5.690000E-03  0.000000E+00  1.820729E+00  8.860212E+00  8.795650E+01  3.470639E+00  1.459974E-02  5.369737E-03
 6.600000E-04  1.014116E-02  -5.855000E-03  0.000000E+00  -4.226699E-01  3.758488E+00  8.561336E+01  -1.327877E-01  9.158418E-03  2.681611E-03
 9.900000E-04  1.042695E-02  -6.020000E-03  0.000000E+00  -2.145198E+00  -1.665161E+00  8.334782E+01  -3.159524E+00  5.207671E-03  -4.556991E-04
 1.320000E-03  1.071273E-02  -6.185000E-03  0.000000E+00  -3.552285E+00  -7.353569E+00  8.111904E+01  -5.685962E+00  -1.092733E-03  -7.190011E-03
 1.650000E-03  1.099852E-02  -6.350000E-03  0.000000E+00  -4.312916E+00  -1.328877E+01  7.904733E+01  -7.637321E+00  2.152099E-04  2.217442E-03

