#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCAR CALCULE LE 29/05/2020 A 15:16:01 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY          SIXZ          SIYZ        
 0.000000E+00  1.353235E-18  -1.105000E-02  0.000000E+00  -1.745548E+01  -2.778501E-02  7.433615E+01  -3.617582E-04  -6.601666E-06  3.882242E-06
 3.300000E-04  1.393648E-18  -1.138000E-02  0.000000E+00  -1.068481E+01  -4.373873E-01  7.631094E+01  -4.318597E-03  1.813083E-03  2.540754E-03
 6.600000E-04  1.434061E-18  -1.171000E-02  0.000000E+00  -4.281799E+00  -5.710949E-01  7.825417E+01  -9.806012E-04  3.624057E-03  1.319972E-03
 9.900000E-04  1.474475E-18  -1.204000E-02  0.000000E+00  1.748704E+00  -5.175298E-01  8.014023E+01  -7.148079E-05  3.664236E-03  4.800902E-04
 1.320000E-03  1.514888E-18  -1.237000E-02  0.000000E+00  7.486575E+00  -3.069507E-01  8.198423E+01  8.487508E-04  3.940869E-03  -6.721717E-04
 1.650000E-03  1.555301E-18  -1.270000E-02  0.000000E+00  1.297321E+01  -4.638745E-02  8.376572E+01  4.563823E-02  -1.212226E-03  -2.423976E-04

