#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCYL CALCULE LE 23/03/2020 A 17:03:14 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY        
 0.000000E+00  1.353235E-18  -1.105000E-02  0.000000E+00  -1.713924E+01  2.452713E-04  7.161980E+01  3.504354E-02
 3.300000E-04  1.393648E-18  -1.138000E-02  0.000000E+00  -1.043988E+01  -3.897308E-01  7.357790E+01  3.737930E-02
 6.600000E-04  1.434061E-18  -1.171000E-02  0.000000E+00  -4.160550E+00  -5.275822E-01  7.548183E+01  2.936470E-02
 9.900000E-04  1.474475E-18  -1.204000E-02  0.000000E+00  1.744824E+00  -4.851025E-01  7.732569E+01  2.350846E-02
 1.320000E-03  1.514888E-18  -1.237000E-02  0.000000E+00  7.355012E+00  -3.043911E-01  7.912090E+01  1.864830E-02
 1.650000E-03  1.555301E-18  -1.270000E-02  0.000000E+00  1.275487E+01  -2.164816E-02  8.088202E+01  2.531993E-02

