#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCYL CALCULE LE 27/11/2019 A 20:13:22 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY        
 0.000000E+00  1.353235E-18  -1.105000E-02  0.000000E+00  4.341415E+00  -6.007799E-01  5.553649E-04  -2.743101E-03
 3.300000E-04  1.393648E-18  -1.138000E-02  0.000000E+00  4.200926E+00  -4.619902E-01  -1.418961E-04  -1.590105E-03
 6.600000E-04  1.434061E-18  -1.171000E-02  0.000000E+00  4.071541E+00  -3.321542E-01  -1.374421E-04  -1.824226E-03
 9.900000E-04  1.474475E-18  -1.204000E-02  0.000000E+00  3.952572E+00  -2.132520E-01  -1.097602E-04  -1.706471E-03
 1.320000E-03  1.514888E-18  -1.237000E-02  0.000000E+00  3.842836E+00  -1.038144E-01  -1.068721E-04  -1.490847E-03
 1.650000E-03  1.555301E-18  -1.270000E-02  0.000000E+00  3.741138E+00  -1.614013E-03  -5.747911E-05  -1.835522E-03

