#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCAR CALCULE LE 27/11/2019 A 12:51:28 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY          SIXZ          SIYZ        
 0.000000E+00  1.353235E-18  -1.105000E-02  0.000000E+00  -1.536728E+01  -3.741220E-02  7.816309E+01  1.022188E-04  -1.525185E-04  -2.146740E-05
 1.100000E-04  1.366706E-18  -1.116000E-02  0.000000E+00  -1.336363E+01  -1.298659E-01  7.875553E+01  -3.472781E-03  -4.726776E-04  1.384880E-04
 2.200000E-04  1.380177E-18  -1.127000E-02  0.000000E+00  -1.135997E+01  -2.223196E-01  7.934797E+01  -7.047781E-03  -7.928368E-04  2.984434E-04
 3.300000E-04  1.393648E-18  -1.138000E-02  0.000000E+00  -9.511732E+00  -3.988594E-01  7.986613E+01  -6.413544E-03  -6.088365E-04  7.078436E-04
 4.400000E-04  1.407119E-18  -1.149000E-02  0.000000E+00  -7.583600E+00  -4.156622E-01  8.045862E+01  -6.541336E-05  -8.974326E-04  6.165212E-04
 5.500000E-04  1.420590E-18  -1.160000E-02  0.000000E+00  -5.655468E+00  -4.324650E-01  8.105112E+01  6.282717E-03  -1.186029E-03  5.251988E-04
 6.600000E-04  1.434061E-18  -1.171000E-02  0.000000E+00  -3.910057E+00  -5.230151E-01  8.156415E+01  6.338751E-03  -7.644122E-04  6.584994E-04
 7.700000E-04  1.447533E-18  -1.182000E-02  0.000000E+00  -2.098326E+00  -4.882779E-01  8.213654E+01  9.582955E-03  -1.053108E-03  5.650175E-04
 8.800000E-04  1.461004E-18  -1.193000E-02  0.000000E+00  -2.865946E-01  -4.535408E-01  8.270893E+01  1.282716E-02  -1.341805E-03  4.715356E-04
 9.900000E-04  1.474475E-18  -1.204000E-02  0.000000E+00  1.388646E+00  -4.714297E-01  8.322272E+01  1.168881E-02  -1.144993E-03  5.509553E-04
 1.100000E-03  1.487946E-18  -1.215000E-02  0.000000E+00  3.104499E+00  -3.987559E-01  8.377715E+01  1.316287E-02  -1.398494E-03  4.801608E-04
 1.210000E-03  1.501417E-18  -1.226000E-02  0.000000E+00  4.820352E+00  -3.260820E-01  8.433158E+01  1.463693E-02  -1.651995E-03  4.093663E-04
 1.320000E-03  1.514888E-18  -1.237000E-02  0.000000E+00  6.443811E+00  -2.719109E-01  8.485165E+01  6.790708E-03  -1.493601E-03  3.852775E-04
 1.430000E-03  1.528359E-18  -1.248000E-02  0.000000E+00  8.075266E+00  -1.846917E-01  8.538444E+01  1.330477E-02  -1.722889E-03  3.305390E-04
 1.540000E-03  1.541830E-18  -1.259000E-02  0.000000E+00  9.706721E+00  -9.747244E-02  8.591723E+01  1.981882E-02  -1.952177E-03  2.758005E-04
 1.650000E-03  1.555301E-18  -1.270000E-02  0.000000E+00  1.127664E+01  -4.243684E-02  8.642098E+01  3.574477E-02  -2.183726E-03  2.245833E-04

