#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCYL CALCULE LE 27/11/2019 A 20:14:06 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY        
 0.000000E+00  0.000000E+00  1.105000E-02  0.000000E+00  1.190681E+02  1.468515E-01  -2.984127E+01  -3.441132E-01
 3.300000E-04  0.000000E+00  1.138000E-02  0.000000E+00  6.840789E+01  2.716417E+00  -8.855159E+01  -2.719284E-01
 6.600000E-04  0.000000E+00  1.171000E-02  0.000000E+00  2.092905E+01  3.944218E+00  -1.455753E+02  -2.353796E-01
 9.900000E-04  0.000000E+00  1.204000E-02  0.000000E+00  -2.325722E+01  3.755416E+00  -2.005163E+02  -2.046198E-01
 1.320000E-03  0.000000E+00  1.237000E-02  0.000000E+00  -6.452401E+01  2.458647E+00  -2.535718E+02  -1.424901E-01
 1.650000E-03  0.000000E+00  1.270000E-02  0.000000E+00  -1.034968E+02  1.669043E-01  -3.052336E+02  -2.617734E-01

