#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCYL CALCULE LE 29/05/2020 A 15:15:01 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY        
 0.000000E+00  1.353235E-18  -1.105000E-02  0.000000E+00  -1.622511E+01  2.194765E-04  6.906825E+01  3.315266E-02
 3.300000E-04  1.393648E-18  -1.138000E-02  0.000000E+00  -9.880657E+00  -3.689990E-01  7.092263E+01  3.537479E-02
 6.600000E-04  1.434061E-18  -1.171000E-02  0.000000E+00  -3.933700E+00  -4.996207E-01  7.272575E+01  2.780248E-02
 9.900000E-04  1.474475E-18  -1.204000E-02  0.000000E+00  1.659179E+00  -4.594860E-01  7.447200E+01  2.227013E-02
 1.320000E-03  1.514888E-18  -1.237000E-02  0.000000E+00  6.972404E+00  -2.883765E-01  7.617217E+01  1.767878E-02
 1.650000E-03  1.555301E-18  -1.270000E-02  0.000000E+00  1.208621E+01  -2.051224E-02  7.784002E+01  2.401231E-02

