#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCYL CALCULE LE 21/11/2019 A 20:24:26 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY        
 0.000000E+00  8.798818E-02  -5.080000E-02  0.000000E+00  2.519158E+08  2.291773E+06  3.983100E+08  1.215125E+06
 1.354660E-02  9.971988E-02  -5.757330E-02  0.000000E+00  1.858428E+08  2.729922E+07  3.775387E+08  3.368497E+07
 2.709320E-02  1.114516E-01  -6.434660E-02  0.000000E+00  1.299462E+08  4.379705E+07  3.572913E+08  4.930841E+07
 4.063980E-02  1.231833E-01  -7.111990E-02  0.000000E+00  8.499282E+07  5.249021E+07  3.404120E+08  5.517929E+07
 5.418640E-02  1.349150E-01  -7.789320E-02  0.000000E+00  4.720048E+07  5.641038E+07  3.257719E+08  5.586370E+07
 6.773300E-02  1.466467E-01  -8.466650E-02  0.000000E+00  1.496495E+07  5.690283E+07  3.132823E+08  5.362072E+07
 8.127960E-02  1.583784E-01  -9.143980E-02  0.000000E+00  -1.287667E+07  5.498785E+07  3.027951E+08  4.970908E+07
 9.482620E-02  1.701101E-01  -9.821310E-02  0.000000E+00  -3.718721E+07  5.137878E+07  2.941544E+08  4.485533E+07
 1.083728E-01  1.818418E-01  -1.049864E-01  0.000000E+00  -5.861622E+07  4.657936E+07  2.872111E+08  3.948884E+07
 1.219194E-01  1.935735E-01  -1.117597E-01  0.000000E+00  -7.766019E+07  4.094965E+07  2.818267E+08  3.386765E+07
 1.354660E-01  2.053052E-01  -1.185330E-01  0.000000E+00  -9.470437E+07  3.474979E+07  2.778750E+08  2.814820E+07
 1.490126E-01  2.170369E-01  -1.253063E-01  0.000000E+00  -1.100519E+08  2.816954E+07  2.752416E+08  2.242558E+07
 1.625592E-01  2.287686E-01  -1.320796E-01  0.000000E+00  -1.239449E+08  2.134775E+07  2.738232E+08  1.675683E+07
 1.761058E-01  2.405003E-01  -1.388529E-01  0.000000E+00  -1.365714E+08  1.440068E+07  2.735332E+08  1.118807E+07
 1.896524E-01  2.522320E-01  -1.456262E-01  0.000000E+00  -1.480707E+08  7.231306E+06  2.742357E+08  5.664729E+06
 2.031990E-01  2.639637E-01  -1.523995E-01  0.000000E+00  -1.590169E+08  2.245167E+05  2.759017E+08  2.198131E+05

