#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCAR CALCULE LE 27/11/2019 A 20:14:06 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY          SIXZ          SIYZ        
 0.000000E+00  9.569581E-03  5.525000E-03  0.000000E+00  2.175426E+01  6.374305E+01  3.520205E+01  -3.655967E+01  -3.463461E-02  -5.466588E-02
 3.300000E-04  9.855369E-03  5.690000E-03  0.000000E+00  1.539570E+01  3.653598E+01  2.266362E+00  -2.076122E+01  -9.611322E-03  -4.509688E-02
 6.600000E-04  1.014116E-02  5.855000E-03  0.000000E+00  7.946592E+00  1.081050E+01  -2.998908E+01  -6.042500E+00  -8.349300E-03  -1.299407E-02
 9.900000E-04  1.042695E-02  6.020000E-03  0.000000E+00  -2.900009E-01  -1.306799E+01  -6.126483E+01  7.724456E+00  2.511170E-03  9.700558E-03
 1.320000E-03  1.071273E-02  6.185000E-03  0.000000E+00  -9.378553E+00  -3.541133E+01  -9.172279E+01  2.053702E+01  9.528814E-03  3.982016E-02
 1.650000E-03  1.099852E-02  6.350000E-03  0.000000E+00  -1.889161E+01  -5.633954E+01  -1.216446E+02  3.285562E+01  1.084348E-02  4.245129E-02

