#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCYL CALCULE LE 27/11/2019 A 20:14:06 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY        
 0.000000E+00  9.569581E-03  -5.525000E-03  0.000000E+00  1.773841E+01  3.993761E-02  9.025046E+01  2.074913E-02
 3.300000E-04  9.855369E-03  -5.690000E-03  0.000000E+00  9.915883E+00  4.520604E-01  8.786008E+01  1.275254E+00
 6.600000E-04  1.014116E-02  -5.855000E-03  0.000000E+00  2.398873E+00  6.212413E-01  8.551463E+01  1.858210E+00
 9.900000E-04  1.042695E-02  -6.020000E-03  0.000000E+00  -4.690540E+00  6.019481E-01  8.326205E+01  1.764168E+00
 1.320000E-03  1.071273E-02  -6.185000E-03  0.000000E+00  -1.137704E+01  3.913724E-01  8.109504E+01  1.150634E+00
 1.650000E-03  1.099852E-02  -6.350000E-03  0.000000E+00  -1.778584E+01  1.504578E-02  7.898286E+01  3.109145E-02

