#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCAR CALCULE LE 23/03/2020 A 17:03:13 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY          SIXZ          SIYZ        
 0.000000E+00  9.569581E-03  5.525000E-03  0.000000E+00  2.192980E+01  6.512995E+01  3.970169E+01  -3.757863E+01  3.897480E-02  3.879487E-02
 3.300000E-04  9.855369E-03  5.690000E-03  0.000000E+00  1.557169E+01  3.724287E+01  6.391880E+00  -2.133318E+01  3.253657E-02  1.141322E-02
 6.600000E-04  1.014116E-02  5.855000E-03  0.000000E+00  7.940723E+00  1.091995E+01  -2.617956E+01  -6.230009E+00  1.257464E-02  -4.436705E-03
 9.900000E-04  1.042695E-02  6.020000E-03  0.000000E+00  -4.443470E-01  -1.344306E+01  -5.765181E+01  7.850100E+00  -5.746485E-04  -1.079417E-02
 1.320000E-03  1.071273E-02  6.185000E-03  0.000000E+00  -9.572739E+00  -3.610248E+01  -8.815128E+01  2.096316E+01  -1.759362E-02  -1.967710E-02
 1.650000E-03  1.099852E-02  6.350000E-03  0.000000E+00  -1.916881E+01  -5.730748E+01  -1.180156E+02  3.347329E+01  -2.299988E-02  -5.433731E-03

