#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHEQ CALCULE LE 27/11/2019 A 20:14:05 DE TYPE         
#TABLE_SDASTER                                                                   
 ABSC_CURV     VMIS          TRESCA        PRIN_1        PRIN_2        PRIN_3        VECT_1_X      VECT_1_Y      VECT_1_Z      VECT_2_X      VECT_2_Y      VECT_2_Z      VECT_3_X      VECT_3_Y      VECT_3_Z      TRIAX       
 0.000000E+00  1.358702E+02  1.484937E+02  -2.950671E+01  8.887951E-01  1.189870E+02  -2.570729E-04  -1.139249E-03  9.999993E-01  6.127192E-03  9.999806E-01  1.140803E-03  9.999812E-01  -6.127481E-03  2.500875E-04  2.217043E-01
 3.300000E-04  1.364076E+02  1.567433E+02  -8.894377E+01  2.869780E+00  6.779952E+01  -1.071069E-04  -7.938566E-04  9.999997E-01  7.266688E-03  9.999733E-01  7.946140E-04  9.999736E-01  -7.266771E-03  1.013353E-04  -4.465654E-02
 6.600000E-04  1.587142E+02  1.662648E+02  -1.459334E+02  3.961382E+00  2.033141E+01  -2.034190E-04  -3.490518E-04  9.999999E-01  2.311231E-02  9.997328E-01  3.536601E-04  9.997329E-01  -2.311238E-02  1.952973E-04  -2.554709E-01
 9.900000E-04  1.922998E+02  2.046101E+02  -2.008873E+02  -2.388115E+01  3.722763E+00  -2.375481E-04  -1.289973E-04  1.000000E+00  9.999578E-01  9.187705E-03  2.387233E-04  -9.187736E-03  9.999578E-01  1.268093E-04  -3.831616E-01
 1.320000E-03  2.302193E+02  2.564270E+02  -2.538050E+02  -6.488869E+01  2.622020E+00  -3.008669E-05  -1.596412E-04  1.000000E+00  1.000000E+00  -1.949436E-04  3.005557E-05  1.949388E-04  1.000000E+00  1.596471E-04  -4.576385E-01
 1.650000E-03  2.691471E+02  3.055772E+02  -3.057267E+02  -1.038756E+02  -1.494801E-01  3.415826E-05  -1.645721E-04  1.000000E+00  9.999963E-01  -2.735156E-03  -3.460826E-05  2.735161E-03  9.999962E-01  1.644780E-04  -5.074693E-01

