#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHEQ CALCULE LE 29/05/2020 A 15:16:00 DE TYPE         
#TABLE_SDASTER                                                                   
 ABSC_CURV     VMIS          TRESCA        PRIN_1        PRIN_2        PRIN_3        VECT_1_X      VECT_1_Y      VECT_1_Z      VECT_2_X      VECT_2_Y      VECT_2_Z      VECT_3_X      VECT_3_Y      VECT_3_Z      TRIAX       
 0.000000E+00  7.760773E+01  8.488515E+01  1.909972E-01  1.775701E+01  8.507614E+01  8.653068E-01  -5.012426E-01  -1.339798E-04  5.012426E-01  8.653068E-01  -1.221895E-05  1.220583E-04  -5.658326E-05  1.000000E+00  4.424996E-01
 3.300000E-04  7.795913E+01  8.236777E+01  2.347123E-01  9.965648E+00  8.260249E+01  9.319619E-01  -3.625562E-01  -1.236884E-05  3.625561E-01  9.319619E-01  1.051464E-04  -2.659418E-05  -1.024768E-04  1.000000E+00  3.968013E-01
 6.600000E-04  7.890993E+01  8.104246E+01  -7.415465E-01  3.712145E+00  8.030091E+01  9.981149E-01  6.137314E-02  9.724286E-05  -6.137315E-02  9.981149E-01  6.807564E-05  -9.288153E-05  -7.391541E-05  1.000000E+00  3.517576E-01
 9.900000E-04  8.030024E+01  8.336080E+01  -5.274088E+00  1.244386E+00  7.808672E+01  7.474331E-01  6.643371E-01  1.215241E-04  -6.643371E-01  7.474331E-01  -3.435653E-05  -1.136554E-04  -5.505372E-05  1.000000E+00  3.074171E-01
 1.320000E-03  8.201745E+01  8.732130E+01  -1.136652E+01  5.434600E-01  7.595477E+01  5.908722E-01  8.067652E-01  1.115123E-04  8.067651E-01  -5.908722E-01  7.519104E-05  -1.265510E-04  -4.553590E-05  1.000000E+00  2.647067E-01
 1.650000E-03  8.401480E+01  9.137899E+01  -1.750052E+01  -2.268401E-02  7.387847E+01  4.985353E-01  8.668694E-01  -2.365405E-05  8.668694E-01  -4.985353E-01  5.992274E-05  -4.015281E-05  5.037857E-05  1.000000E+00  2.235926E-01

