#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHCYL CALCULE LE 27/11/2019 A 20:13:21 DE TYPE        
#TABLE_SDASTER                                                                   
 ABSC_CURV     COOR_X        COOR_Y        COOR_Z        SIXX          SIYY          SIZZ          SIXY        
 0.000000E+00  0.000000E+00  1.105000E-02  0.000000E+00  4.341222E+00  -6.015573E-01  1.244836E-04  -2.837135E-03
 3.300000E-04  0.000000E+00  1.138000E-02  0.000000E+00  4.200826E+00  -4.629007E-01  -2.733534E-04  -2.100718E-03
 6.600000E-04  0.000000E+00  1.171000E-02  0.000000E+00  4.071574E+00  -3.323553E-01  -6.794715E-05  -1.826778E-03
 9.900000E-04  0.000000E+00  1.204000E-02  0.000000E+00  3.952559E+00  -2.133341E-01  -1.117112E-04  -1.667902E-03
 1.320000E-03  0.000000E+00  1.237000E-02  0.000000E+00  3.842946E+00  -1.034360E-01  2.469657E-06  -1.242704E-03
 1.650000E-03  0.000000E+00  1.270000E-02  0.000000E+00  3.741001E+00  -1.480265E-03  -9.121371E-05  -2.346358E-03

