#
#--------------------------------------------------------------------------------
##ASTER 13.06.00 CONCEPT SCLTHEQ CALCULE LE 23/03/2020 A 17:03:13 DE TYPE         
#TABLE_SDASTER                                                                   
 ABSC_CURV     VMIS          TRESCA        PRIN_1        PRIN_2        PRIN_3        VECT_1_X      VECT_1_Y      VECT_1_Z      VECT_2_X      VECT_2_Y      VECT_2_Z      VECT_3_X      VECT_3_Y      VECT_3_Z      TRIAX       
 0.000000E+00  1.290081E+02  1.349290E+02  -1.247535E+01  3.201650E-01  1.224537E+02  -1.866970E-06  -9.998494E-04  9.999995E-01  2.450985E-03  9.999965E-01  9.998510E-04  9.999970E-01  -2.450986E-03  -5.836521E-07  2.849912E-01
 3.300000E-04  1.228746E+02  1.417966E+02  -7.223259E+01  2.963037E+00  6.956401E+01  -3.044058E-05  -5.689065E-04  9.999998E-01  2.710174E-03  9.999962E-01  5.689869E-04  9.999963E-01  -2.710191E-03  2.889862E-05  7.988122E-04
 6.600000E-04  1.424873E+02  1.501152E+02  -1.293258E+02  4.055876E+00  2.078935E+01  -8.287301E-05  -2.304820E-04  1.000000E+00  9.607955E-03  9.999538E-01  2.312676E-04  9.999538E-01  -9.607973E-03  8.065473E-05  -2.444209E-01
 9.900000E-04  1.754457E+02  1.878795E+02  -1.840461E+02  -2.447737E+01  3.833395E+00  -8.063675E-05  -1.269055E-04  1.000000E+00  9.999889E-01  4.718297E-03  8.123463E-05  -4.718307E-03  9.999889E-01  1.265236E-04  -3.888954E-01
 1.320000E-03  2.131718E+02  2.391899E+02  -2.364073E+02  -6.647970E+01  2.782538E+00  -8.433979E-05  -6.845208E-05  1.000000E+00  9.999998E-01  6.005428E-04  8.438088E-05  -6.005486E-04  9.999998E-01  6.840142E-05  -4.692685E-01
 1.650000E-03  2.518473E+02  2.875509E+02  -2.875744E+02  -1.062098E+02  -2.347490E-02  -8.184855E-05  -8.919141E-05  1.000000E+00  9.999976E-01  -2.191955E-03  8.165285E-05  2.191948E-03  9.999976E-01  8.937060E-05  -5.212254E-01

